tower_id,lowest_key
0,0
1,0
2,0
5,5
3590,3590
3585,240
1032,0
10,0
11,0
2060,380
1037,0
15,0
16,0
3090,3090
3091,3090
20,5
2070,2070
1560,0
1561,0
1050,321
1051,321
3100,331
90,0
30,0
31,0
2080,2080
2081,2080
9051,0
3620,0
1061,320
3110,332
96,0
40,0
41,0
2090,2090
1031,0
1580,1580
1581,1580
1582,1580
3631,220
50,0
1075,0
1076,0
1590,0
1591,0
1080,1080
57,0
1595,0
1596,0
61,0
62,0
65,0
66,0
67,0
3140,3140
70,70
1095,1095
2120,2120
1036,0
1610,0
1611,0
3660,250
1101,0
3150,3150
1105,0
1106,0
480,480
3670,472
3671,472
3672,472
3673,472
1111,1010
91,0
1630,180
101,0
1120,390
1121,390
100,0
9062,0
102,0
105,0
106,0
107,0
110,110
445,441
112,110
1137,1135
1140,1020
1141,1020
3190,490
3191,490
120,120
121,120
2170,2170
2171,2170
3690,3690
3200,410
3201,410
130,130
131,130
132,130
3521,330
140,140
2190,2190
3215,130
1680,400
3217,130
1170,1111
1171,1171
1172,1171
1685,400
1686,400
1687,400
1176,1171
2201,2200
111,110
51,0
3610,1090
3230,170
3231,170
160,160
1185,5
162,160
1700,1700
170,170
171,170
172,170
1565,0
9160,160
180,180
181,180
9110,110
9161,160
1567,0
9162,160
190,190
32,0
1735,1735
200,0
1225,1225
1226,1225
210,210
211,211
212,212
9430,0
9431,0
1060,320
1030,0
465,460
220,220
221,221
222,222
1760,1760
19170,1111
9460,460
230,230
231,231
161,160
9450,450
9451,450
9452,450
466,460
240,240
241,240
1780,1780
9461,460
1021,1020
250,250
42,0
260,260
9090,0
45,0
2160,210
2520,2520
331,331
3630,220
1070,0
3050,361
2180,440
1071,0
9500,500
9501,500
9502,500
1040,1040
95,0
1135,1135
1330,1110
1110,1010
9010,0
9011,0
2150,371
311,311
312,312
52,0
1340,460
1341,460
320,320
321,321
2590,190
9030,0
9031,0
9032,0
1136,1135
330,330
55,0
332,332
361,361
9040,0
56,0
1100,0
340,340
341,341
342,342
2020,2020
1631,180
2191,440
9052,0
350,350
2041,2040
3216,130
9060,0
9061,0
3430,0
3431,0
360,360
60,0
46,0
19090,1090
9070,70
1035,0
1000,341
370,370
371,371
1001,341
1400,500
1401,500
1402,500
380,380
1770,350
3020,470
490,490
2570,150
9091,0
150,150
390,390
47,0
1175,1111
9100,0
9101,0
9102,0
400,400
2200,2200
1091,1091
4500,4500
4501,4500
4502,4500
9111,110
9112,110
410,410
411,410
4510,230
2571,150
460,460
420,420
1736,1735
1020,1020
430,0
431,0
19092,130
435,0
436,0
3510,0
440,440
441,441
1566,0
151,150
3005,0
3006,0
3007,0
3520,330
3232,170
450,450
451,450
452,450
2550,420
455,450
456,450
457,450
3530,3530
3531,3530
3101,331
461,460
333,333
2000,0
2001,0
2002,0
19091,1091
470,470
471,471
472,472
2521,2520
2010,160
2011,160
2012,160
3040,3040
481,481
482,482
9050,0
1090,1090
2021,2020
9041,0
3560,140
3561,140
3562,140
9042,0
2030,110
2031,110
2032,110
1010,1010
1011,1010
500,500
501,500
502,500
1568,0
2040,2040
505,500
506,500
507,500
3580,240
3581,240
